#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1505000,-134992.909844,313.055273697,364
1507500,-135492.256057,313.383226136,364
1510000,-136111.245028,313.817308552,364
1512500,-135944.277965,312.916937621,364
1515000,-136579.292845,313.512564896,364
1517500,-135919.633635,308.786750033,364
1520000,-136193.672055,317.35201088,364
1522500,-136078.031796,316.810252105,364
1525000,-135898.827323,313.548568863,364
1527500,-135878.674657,311.790652356,364
1530000,-137103.536384,312.395381918,364
1532500,-136293.779213,310.391875873,364
1535000,-136687.856633,313.862886564,364
1537500,-136020.546344,315.206751773,364
1540000,-136235.138162,315.733667025,364
1542500,-135913.907066,318.383565397,364
1545000,-136085.518941,313.633782668,364
1547500,-137266.375122,311.943759819,364
1550000,-136420.842431,313.675084707,364
1552500,-136470.771444,312.939633863,364
1555000,-135508.312915,318.616842046,364
1557500,-136058.220247,309.938481093,364
1560000,-136832.067812,311.449399559,364
1562500,-135665.915474,312.440221303,364
1565000,-135446.72963,314.575940115,364
1567500,-135651.224502,317.172264436,364
1570000,-136297.815486,310.738986864,364
1572500,-135858.418894,313.531467828,364
1575000,-136679.832829,313.870866471,364
1577500,-135957.547281,313.900293028,364
1580000,-136288.690413,315.222241276,364
1582500,-135727.913314,312.089404693,364
1585000,-135791.963752,309.84033596,364
1587500,-136049.038533,313.863480881,364
1590000,-136416.78585,312.264499649,364
1592500,-136258.563202,315.715380613,364
1595000,-136644.529907,312.741653686,364
1597500,-135528.123301,310.270186628,364
1600000,-135815.524875,310.01693969,364
1602500,-136307.216452,315.849029952,364
1605000,-135471.33658,315.284372391,364
1607500,-135546.454994,314.829472119,364
1610000,-135542.232282,317.779382422,364
1612500,-136488.495731,317.207337682,364
1615000,-136071.85094,311.591641482,364
1617500,-134862.470724,312.293552019,364
1620000,-136310.415169,313.621991834,364
1622500,-135450.168243,310.523460674,364
1625000,-136370.197409,314.467247628,364
1627500,-136712.463788,315.027787838,364
1630000,-137058.811098,313.839157166,364
1632500,-136605.816294,314.562180203,364
1635000,-135976.206642,314.838304152,364
1637500,-136015.207979,309.636065824,364
1640000,-134856.527018,313.21897707,364
1642500,-136381.052426,311.562439811,364
1645000,-135440.318188,312.493202636,364
1647500,-136386.408922,315.018667906,364
1650000,-136472.693935,317.844026378,364
1652500,-135813.993141,311.095121668,364
1655000,-135965.754049,315.029015279,364
1657500,-135466.941906,314.107343406,364
1660000,-136222.138738,311.096969369,364
1662500,-135631.158541,316.005587797,364
1665000,-135255.645117,316.107097255,364
1667500,-135448.454863,318.876614873,364
1670000,-136600.56882,316.321629138,364
1672500,-135767.968337,312.459268534,363
1675000,-136335.442649,313.002595867,364
1677500,-136282.375093,316.33229196,363
1680000,-136685.236102,312.173010327,363
1682500,-135193.750128,311.660048938,363
1685000,-135579.112697,311.884268621,363
1687500,-136236.009733,316.879355275,363
1690000,-136845.770799,313.38441192,363
1692500,-136399.230055,314.041349508,363
1695000,-135977.119876,309.267303306,363
1697500,-135725.732465,309.521269877,363
1700000,-135813.144893,315.551946351,363
1702500,-136336.513807,313.809343074,363
1705000,-136395.795766,310.798327085,363
1707500,-136523.545691,316.939509959,363
1710000,-135993.877947,317.390858999,363
1712500,-136066.983188,314.456721243,363
1715000,-136643.404169,313.690332424,363
1717500,-135980.73339,315.24814085,363
1720000,-136391.878272,315.823323442,363
1722500,-135535.958445,314.130306238,363
1725000,-135732.530596,312.959809393,363
1727500,-135965.364877,316.19441848,363
1730000,-136186.986507,311.78162909,363
1732500,-135412.876494,317.599743688,363
1735000,-135993.690454,312.887216951,363
1737500,-135770.858764,315.1032248,363
1740000,-136159.354388,313.09867839,363
1742500,-135678.186549,314.987709139,363
1745000,-136306.488794,310.212545583,363
1747500,-136082.723986,312.131632054,363
1750000,-136763.723557,316.913134131,363
1752500,-136076.009036,316.286248448,363
1755000,-135604.522145,313.478126732,363
1757500,-136456.443311,312.843820491,363
1760000,-135472.393172,314.759784766,363
1762500,-136218.291365,314.566398049,363
1765000,-135935.260125,315.077799308,363
1767500,-135686.172208,316.445148115,363
1770000,-135694.063558,311.17009148,363
1772500,-135648.929502,311.739145626,363
1775000,-135713.094189,312.367460437,363
1777500,-136847.271664,314.221198479,363
1780000,-136086.333504,317.654514309,363
1782500,-135164.531269,310.185655117,363
1785000,-135944.808085,316.849116391,363
1787500,-136169.412394,312.220725109,363
1790000,-136383.136663,312.527517242,363
1792500,-136445.406732,314.341475803,363
1795000,-136413.271559,314.929747954,363
1797500,-135861.30554,316.754221425,363
1800000,-135612.816627,321.096418814,363
1802500,-136571.761339,314.662813379,363
1805000,-136654.672443,317.341927768,363
1807500,-136677.448231,310.289089942,363
1810000,-137019.869827,309.193438455,363
1812500,-136231.062037,314.157543127,363
1815000,-136216.411255,312.75275456,363
1817500,-135721.85228,313.496747562,363
1820000,-135909.784852,310.588715398,363
1822500,-136289.241435,314.283470653,363
1825000,-136128.152092,312.182106958,363
1827500,-136363.102338,311.518125475,363
1830000,-135914.87975,313.492379164,363
1832500,-135722.558049,314.549718118,363
1835000,-136202.401734,315.544414631,363
1837500,-136747.772539,310.320677746,363
1840000,-135819.563798,313.459592759,363
1842500,-136540.694986,313.447553345,363
1845000,-135764.858661,311.676356732,363
1847500,-136431.783468,314.574268453,363
1850000,-135906.672033,313.347430873,363
1852500,-136179.875492,317.525939193,363
1855000,-135851.887938,316.391839911,363
1857500,-135998.83758,315.220748185,363
1860000,-135579.763789,315.025770237,363
1862500,-136321.931734,315.307960693,363
